1,"Inflorescence bisexual; ovaries triquetrous; fruits ribbed, opening by 3 valves; seeds honeycombed",Trithuria submersa
1,"Inflorescence usually unisexual; ovaries globular; fruits smooth, indehiscent; seeds smooth",Trithuria filamentosa
